"OBJECT_ID","S_INFO_WINDCODE","S_CON_WINDCODE","TRADE_DT","I_WEIGHT","S_IN_INDEX","I_WEIGHT_11","I_WEIGHT_12","I_WEIGHT_14","I_WEIGHT_15","I_WEIGHT_16","I_WEIGHT_17","I_WEIGHT_18","OPDATE","OPMODE"
{A47D4BD5-B084-6AFB-E053-1001C80AF09B},"000300.SH","002081.SZ","20200430",0.098,1605845213,2676408689,,1,8.06,,21571854033.34,12943112416.78,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B085-6AFB-E053-1001C80AF09B},"000300.SH","600018.SH","20200430",0.1466,4634734930,23173674650,,1,4.18,,96865960037,19373192007.4,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B086-6AFB-E053-1001C80AF09B},"000300.SH","601398.SH","20200430",0.8439,21568977003,269612212539,,1,5.17,,1393895138826.63,111511611105.51,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B087-6AFB-E053-1001C80AF09B},"000300.SH","601628.SH","20200430",0.3598,1665882400,20823530000,,1,28.54,,594303546200,47544283696,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B088-6AFB-E053-1001C80AF09B},"000300.SH","002120.SZ","20200430",0.1495,667885940,2226286468,,1,29.57,,65831290858.76,19749387245.8,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B089-6AFB-E053-1001C80AF09B},"000300.SH","601166.SH","20200430",1.8291,14541933526,20774190751,,1,16.62,,345267050281.62,241686935202.12,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B08A-6AFB-E053-1001C80AF09B},"000300.SH","601318.SH","20200430",6.1045,10832664498,10832664498,,1,74.46,,806600198521.08,806600198521.08,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B08B-6AFB-E053-1001C80AF09B},"000300.SH","000338.SZ","20200430",0.486,4792667116,5990833895,,1,13.4,,80277174193,64221739354.4,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B08C-6AFB-E053-1001C80AF09B},"000300.SH","601998.SH","20200430",0.1206,3064738157,34052646194,,1,5.2,,177073760208.8,15936638416.4,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B08D-6AFB-E053-1001C80AF09B},"000300.SH","601328.SH","20200430",1.0771,27475604811,39250864015,,1,5.18,,203319475597.7,142323632920.98,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B08E-6AFB-E053-1001C80AF09B},"000300.SH","601600.SH","20200430",0.141,6539353492,13078706983,,1,2.85,,37274314901.55,18637157452.2,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B08F-6AFB-E053-1001C80AF09B},"000300.SH","601919.SH","20200430",0.1055,3871571691,9678929227,,1,3.6,,34844145217.2,13937658087.6,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B090-6AFB-E053-1001C80AF09B},"000300.SH","002142.SZ","20200430",0.5548,2814164764,5628329528,,1,26.05,,146617984204.4,73308992102.2,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B091-6AFB-E053-1001C80AF09B},"000300.SH","601009.SH","20200430",0.3494,6004210184,10007016973,,1,7.69,,76953960522.37,46172376314.96,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B092-6AFB-E053-1001C80AF09B},"000300.SH","601088.SH","20200430",0.3976,3298207591,16491037955,,1,15.93,,262702234623.15,52540446924.63,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B093-6AFB-E053-1001C80AF09B},"000300.SH","002304.SZ","20200430",0.4491,602795200,1506988000,,1,98.44,,148347898720,59339159488,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B094-6AFB-E053-1001C80AF09B},"000300.SH","601857.SH","20200430",0.3265,9715324669,161922077818,,1,4.44,,718934025511.92,43136041530.36,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B095-6AFB-E053-1001C80AF09B},"000300.SH","601390.SH","20200430",0.3612,8145415713,20363539283,,1,5.86,,119330340198.38,47732136078.18,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B096-6AFB-E053-1001C80AF09B},"000300.SH","002202.SZ","20200430",0.2086,2761196198,3451495248,,1,9.98,,34445922575.04,27556738056.04,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B097-6AFB-E053-1001C80AF09B},"000300.SH","601601.SH","20200430",0.732,3143350000,6286700000,,1,30.77,,193441759000,96720879500,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B098-6AFB-E053-1001C80AF09B},"000300.SH","300024.SZ","20200430",0.1089,1092167732,1560239617,,1,13.18,,20563958152.06,14394770707.76,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B099-6AFB-E053-1001C80AF09B},"000300.SH","601899.SH","20200430",0.4068,13748223962,19640319946,,1,3.91,,76793650988.86,53755555691.42,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B09A-6AFB-E053-1001C80AF09B},"000300.SH","601898.SH","20200430",0.0529,1830400080,9152000400,,1,3.82,,34960641528,6992128305.6,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B09B-6AFB-E053-1001C80AF09B},"000300.SH","601186.SH","20200430",0.3406,4601298200,11503245500,,1,9.78,,112501740990,45000696396,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B09C-6AFB-E053-1001C80AF09B},"000300.SH","002230.SZ","20200430",0.3876,1539002547,2198575067,,1,33.28,,73168578229.76,51218004764.16,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B09D-6AFB-E053-1001C80AF09B},"000300.SH","002236.SZ","20200430",0.2304,1804794738,3007991230,,1,16.87,,50744812050.1,30446887230.06,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B09E-6AFB-E053-1001C80AF09B},"000300.SH","002252.SZ","20200430",0.1296,2022236372,6740787907,,1,8.47,,57094473572.29,17128342070.84,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B09F-6AFB-E053-1001C80AF09B},"000300.SH","002241.SZ","20200430",0.3327,2271572764,3245103948,,1,19.35,,62792761393.8,43954932983.4,2020-04-30 15:30:51.000,"0"
{A47D4BD5-B0A0-6AFB-E053-1001C80AF09B},"000300.SH","601901.SH","20200430",0.2218,4116050698,8232101395,,1,7.12,,58612561932.4,29306280969.76,2020-04-30 15:30:51.000,"0"
