date,000001.SZ,000100.SZ,000166.SZ,000413.SZ,000415.SZ,000423.SZ,000538.SZ,000568.SZ,000596.SZ,000627.SZ,000661.SZ,000725.SZ,000728.SZ,000776.SZ,000783.SZ,000858.SZ,000895.SZ,000963.SZ,002001.SZ,002007.SZ,002008.SZ,002044.SZ,002142.SZ,002236.SZ,002241.SZ,002252.SZ,002294.SZ,002304.SZ,002411.SZ,002415.SZ,002422.SZ,002456.SZ,002475.SZ,002673.SZ,002736.SZ,002773.SZ,002841.SZ,002916.SZ,002938.SZ,002939.SZ,002945.SZ,002958.SZ,300003.SZ,300015.SZ,300122.SZ,300136.SZ,300142.SZ,300347.SZ,300408.SZ,300433.SZ,600000.SH,600015.SH,600016.SH,600030.SH,600036.SH,600061.SH,600085.SH,600109.SH,600183.SH,600196.SH,600276.SH,600332.SH,600369.SH,600390.SH,600436.SH,600519.SH,600535.SH,600566.SH,600703.SH,600705.SH,600809.SH,600816.SH,600837.SH,600867.SH,600887.SH,600919.SH,600926.SH,600928.SH,600958.SH,600998.SH,600999.SH,601009.SH,601066.SH,601108.SH,601138.SH,601162.SH,601166.SH,601169.SH,601198.SH,601211.SH,601229.SH,601236.SH,601288.SH,601318.SH,601319.SH,601328.SH,601336.SH,601377.SH,601398.SH,601555.SH,601577.SH,601601.SH,601607.SH,601628.SH,601688.SH,601788.SH,601818.SH,601838.SH,601878.SH,601881.SH,601901.SH,601939.SH,601988.SH,601997.SH,601998.SH,603156.SH,603160.SH,603259.SH,603288.SH,603501.SH,603986.SH
20200430,13.93,4.64,4.37,2.78,2.74,31.0,90.32,79.17,134.89,5.51,595.88,3.76,8.17,13.71,6.37,135.77,40.41,19.95,27.29,38.87,30.3,11.44,26.05,16.87,19.35,8.47,18.72,98.44,7.72,32.06,19.45,15.2,47.31,7.95,10.69,38.38,76.04,233.4,41.79,11.92,14.09,4.45,38.11,44.39,79.16,41.3,40.47,77.0,20.82,18.27,10.63,6.56,5.89,23.7,35.09,11.94,25.68,9.71,32.46,33.63,93.0,30.9,4.52,7.28,140.25,1265.7,14.01,20.72,21.96,3.93,107.31,2.5,12.89,12.68,29.24,6.04,8.28,5.43,9.4,17.93,18.48,7.69,34.99,9.55,14.69,5.49,16.62,4.98,10.72,16.92,8.17,19.44,3.46,74.46,6.35,5.18,44.95,6.03,5.17,7.73,7.85,30.77,18.5,28.54,18.14,11.18,3.73,7.75,9.82,9.93,7.12,6.43,3.48,7.9,5.2,26.55,236.25,101.77,122.93,194.48,277.82
20200506,13.77,4.8,4.44,2.81,2.82,31.2,91.3,79.03,134.12,5.52,611.7,3.82,8.21,13.71,6.38,138.21,41.49,21.04,27.52,38.55,32.14,11.22,25.96,17.38,20.84,8.58,18.96,100.09,7.81,32.2,19.72,15.8,47.51,8.03,10.7,38.02,76.92,244.9,43.51,12.12,14.24,4.44,39.6,45.49,80.85,43.33,41.73,78.11,21.14,18.39,10.46,6.51,5.84,23.62,34.63,12.03,25.8,9.93,32.96,34.19,96.42,31.34,4.55,7.29,145.49,1300.0,14.4,21.23,23.76,3.95,106.28,2.5,12.83,13.62,29.17,6.01,8.38,5.45,9.35,18.41,18.31,7.67,35.04,9.59,14.76,5.59,16.33,4.94,10.83,16.7,8.11,20.23,3.42,73.81,6.38,5.13,45.33,6.04,5.11,7.8,7.85,30.42,18.65,27.9,18.17,11.19,3.69,7.76,9.92,9.96,7.13,6.34,3.45,7.88,5.15,27.06,242.0,100.24,127.19,209.41,305.6
20200507,13.69,4.71,4.42,2.74,2.84,30.83,90.45,80.3,136.5,5.53,610.8,3.77,8.15,13.61,6.32,141.91,42.19,21.25,27.01,38.03,32.57,11.25,25.78,17.2,20.49,8.44,19.2,99.5,7.99,31.58,20.03,15.45,46.87,8.02,10.67,38.41,76.12,248.68,43.27,12.05,14.15,4.44,39.58,46.58,80.2,43.46,42.05,77.75,20.75,18.32,10.39,6.47,5.8,23.41,34.45,12.08,25.58,9.82,32.81,33.7,96.6,31.19,4.51,7.26,145.7,1312.0,14.37,21.36,23.28,3.94,108.5,2.5,12.67,13.5,29.06,6.0,8.22,5.4,9.35,18.6,18.04,7.69,34.74,9.54,14.38,5.52,16.16,4.94,10.75,16.47,8.07,20.59,3.41,73.23,6.34,5.12,45.1,5.98,5.1,7.76,7.8,30.38,18.51,27.52,18.06,11.18,3.66,7.79,9.92,9.85,7.12,6.31,3.44,7.85,5.11,26.95,235.98,101.29,107.71,208.19,226.0
20200508,13.95,4.74,4.48,2.74,2.86,30.71,91.49,81.64,140.24,5.59,611.6,3.86,8.33,13.82,6.44,142.9,42.83,21.76,27.08,38.06,33.5,12.0,26.23,17.36,20.76,8.5,19.29,99.82,7.93,31.84,20.3,15.79,47.25,8.14,10.84,40.03,77.05,256.3,42.88,12.24,14.57,4.54,39.6,46.8,81.39,43.35,42.59,77.8,21.25,18.41,10.44,6.52,5.84,23.82,34.97,12.26,25.56,10.2,32.35,33.44,97.05,31.35,4.62,7.34,145.03,1314.61,14.91,21.53,24.05,3.99,108.35,2.5,12.92,13.58,29.44,6.06,8.47,5.48,9.52,18.6,18.37,7.76,35.22,9.74,14.44,6.07,16.37,4.98,10.95,16.68,8.13,21.3,3.42,72.97,6.45,5.14,45.12,6.1,5.1,7.93,7.89,29.69,18.53,27.94,18.32,11.34,3.69,7.83,10.18,10.0,7.24,6.35,3.46,7.92,5.15,27.5,241.13,103.6,108.72,208.97,221.01
20200511,14.0,4.84,4.49,2.72,2.84,30.98,89.2,82.8,145.88,5.59,610.0,3.95,8.27,13.74,6.43,141.85,41.58,21.19,26.71,37.24,33.38,11.73,26.0,17.32,21.26,8.77,18.94,98.34,7.97,32.02,20.6,16.13,46.64,8.11,10.9,38.17,75.8,251.6,42.38,12.13,14.47,4.49,38.76,45.6,80.0,43.27,42.59,76.7,21.7,18.02,10.43,6.5,5.82,23.57,34.96,12.26,25.3,10.25,31.4,33.85,93.68,31.44,4.58,7.29,145.36,1323.01,14.7,23.08,24.35,3.97,107.1,2.5,12.77,13.69,29.22,6.03,8.55,5.43,9.42,18.12,18.15,7.69,34.84,9.61,14.52,6.08,16.39,4.95,10.83,16.51,8.11,21.58,3.42,73.9,6.41,5.15,45.58,6.04,5.14,7.88,7.89,29.99,18.4,28.34,18.09,11.25,3.7,7.82,10.1,10.03,7.19,6.39,3.46,7.9,5.13,27.34,243.39,102.8,107.34,206.69,220.38
20200512,13.79,4.83,4.5,2.66,2.8,32.02,89.12,84.12,147.7,5.54,627.0,3.92,8.08,13.69,6.4,142.9,42.33,21.1,26.29,38.22,32.73,12.08,25.57,17.25,21.34,8.77,18.89,96.81,8.04,32.16,20.69,15.94,47.66,8.12,10.79,37.86,76.06,255.3,43.13,12.38,14.4,4.48,38.95,46.32,81.67,43.43,42.4,78.8,21.35,18.65,10.34,6.46,5.79,23.63,34.59,12.14,25.26,10.16,31.86,34.09,95.44,31.15,4.53,7.23,148.24,1333.0,14.78,22.4,24.17,3.94,111.29,2.5,12.74,13.42,29.13,5.98,8.47,5.39,9.45,18.64,17.85,7.66,35.51,9.67,14.23,6.01,16.24,4.91,10.82,16.28,8.06,21.76,3.41,73.93,6.35,5.13,45.6,5.99,5.13,7.85,7.83,29.48,18.16,27.79,18.02,11.16,3.7,7.78,10.05,10.11,7.16,6.35,3.44,7.84,5.1,27.35,238.0,106.1,112.47,207.05,217.89
20200513,13.63,4.89,4.53,2.9,2.82,31.74,90.0,88.66,149.11,5.52,641.0,3.9,8.08,13.67,6.41,146.0,43.68,21.18,26.4,38.28,32.64,12.8,25.41,17.07,20.95,8.74,19.47,98.57,7.95,32.05,20.71,16.37,49.45,8.11,10.81,38.45,76.74,178.35,43.19,12.35,14.54,4.48,40.7,48.3,82.49,44.5,42.29,81.13,21.11,18.58,10.38,6.44,5.79,23.74,34.54,12.45,25.3,10.21,31.7,33.81,95.7,31.79,4.55,7.26,148.98,1335.95,14.86,22.13,23.85,3.92,117.26,2.5,12.71,13.85,29.48,5.96,8.57,5.37,9.49,18.85,17.74,7.69,35.18,9.66,14.18,5.97,16.25,4.92,10.9,16.28,8.03,21.62,3.41,73.34,6.35,5.13,45.54,5.98,5.13,7.83,7.83,29.48,18.27,27.75,18.02,11.26,3.68,7.86,10.12,10.25,7.2,6.38,3.46,7.81,5.12,28.39,238.96,110.21,113.18,208.47,219.0
20200514,13.3,4.99,4.48,2.84,2.77,32.12,88.98,87.8,150.78,5.46,643.0,3.86,7.95,13.51,6.31,146.3,42.58,21.32,25.92,37.58,32.2,12.54,24.75,16.87,21.06,8.59,19.24,97.85,7.76,31.21,20.74,16.08,48.81,8.03,10.71,38.07,80.62,179.29,42.23,12.12,14.26,4.4,39.98,47.91,81.92,44.04,42.58,81.98,21.22,18.52,10.3,6.4,5.77,23.44,33.93,12.19,25.03,10.11,32.35,32.35,97.2,31.1,4.48,7.23,148.31,1326.59,14.56,21.85,24.21,3.89,116.73,2.5,12.54,14.3,29.0,5.92,8.52,5.3,9.35,18.43,17.49,7.64,34.51,9.56,13.69,6.0,16.02,4.89,10.75,16.11,8.03,21.39,3.39,72.23,6.25,5.12,44.29,5.92,5.1,7.73,7.72,28.88,17.99,27.25,17.77,11.05,3.65,7.76,9.93,10.05,7.13,6.32,3.45,7.68,5.07,28.9,234.0,110.22,110.32,207.02,214.73
20200515,13.23,5.19,4.46,2.85,2.75,32.48,87.9,87.56,148.19,5.4,641.5,3.93,7.97,13.62,6.32,145.22,41.87,21.51,25.87,36.86,31.69,12.22,24.73,16.98,21.16,8.53,19.25,95.6,7.66,30.88,21.0,16.06,48.23,8.03,10.77,37.36,79.09,183.07,41.88,12.18,14.18,4.3,39.7,47.74,81.65,44.52,42.65,81.25,21.48,18.66,10.28,6.4,5.76,23.44,33.85,12.11,25.1,10.06,31.99,32.75,94.83,30.78,4.49,7.22,145.0,1313.0,14.51,21.96,24.79,3.9,115.18,2.5,12.52,14.27,28.48,5.95,8.61,5.29,9.39,17.84,17.51,7.63,34.37,9.55,13.79,5.93,16.05,4.88,10.73,16.1,8.04,21.55,3.39,72.23,6.24,5.13,44.86,5.93,5.09,7.72,7.72,28.68,17.95,26.88,17.75,11.05,3.64,7.74,9.94,9.96,7.14,6.31,3.45,7.67,5.08,28.68,240.36,109.33,110.4,214.9,230.0
20200518,13.2,4.9,4.46,2.78,2.7,33.22,87.77,89.5,152.3,5.37,662.0,3.8,7.94,13.5,6.3,151.19,40.45,20.95,26.11,38.05,30.87,12.45,24.8,16.43,19.29,8.64,19.77,100.56,7.58,29.9,20.45,14.91,45.43,8.29,10.79,37.27,79.7,169.62,41.0,12.06,14.01,4.28,40.6,49.1,83.47,42.0,43.49,83.85,20.68,16.81,10.32,6.42,5.78,23.08,33.8,12.06,25.18,10.13,29.44,32.92,97.2,30.74,4.52,7.19,148.68,1346.21,14.41,21.83,23.65,3.88,119.29,2.5,12.42,14.34,28.68,5.96,8.82,5.31,9.34,17.68,17.47,7.65,33.99,9.42,13.49,5.83,16.03,4.88,10.75,16.09,8.03,21.8,3.39,72.2,6.27,5.14,44.49,5.9,5.1,7.69,7.76,28.59,18.08,26.8,17.66,10.98,3.66,7.79,9.8,9.9,7.07,6.32,3.45,7.72,5.08,29.1,224.18,110.63,112.8,194.1,216.0
