,StockCode,date,price
0,002236.SZ,20200520,16.48
1,600061.SH,20200521,12.12
2,600183.SH,20200521,28.2
3,601162.SH,20200520,5.93
4,000783.SZ,20200520,6.36
5,000100.SZ,20200528,4.94
6,600276.SH,20200528,78.5
7,600369.SH,20200528,4.39
8,002304.SZ,20200528,104.25
9,000001.SZ,20200528,13.07
10,002411.SZ,20200528,6.91
11,002001.SZ,20200529,25.3
12,002007.SZ,20200529,41.18
13,002008.SZ,20200529,30.42
14,000776.SZ,20200529,13.18
15,600000.SH,20200529,10.57
16,600016.SH,20200529,5.69
17,600036.SH,20200529,33.82
18,600061.SH,20200529,11.92
19,600535.SH,20200526,14.64
20,600036.SH,20200525,33.09
21,000413.SZ,20200525,2.7
22,600809.SH,20200525,121.95
23,600816.SH,20200525,2.5
24,600016.SH,20200526,5.7
25,002007.SZ,20200525,41.18
26,000776.SZ,20200526,13.22
27,601878.SH,20200526,9.52
28,300015.SZ,20200512,46.32
29,603259.SH,20200514,110.22
30,002673.SZ,20200508,8.14
31,000166.SZ,20200514,4.48
32,601555.SH,20200514,7.73
33,601788.SH,20200514,11.05
34,601838.SH,20200514,7.76
35,601988.SH,20200514,3.45
36,601688.SH,20200514,17.77
37,601998.SH,20200514,5.07
38,002938.SZ,20200508,42.88
39,002422.SZ,20200508,20.3
40,600390.SH,20200514,7.23
41,600519.SH,20200514,1326.59
42,002252.SZ,20200514,8.59
43,300408.SZ,20200519,20.94
44,300433.SZ,20200519,17.49
45,002773.SZ,20200519,36.66
46,002044.SZ,20200520,12.48
47,002475.SZ,20200519,46.86
48,000776.SZ,20200519,13.62
49,600276.SH,20200519,97.94
50,600369.SH,20200519,4.53
51,002304.SZ,20200519,104.31
52,600566.SH,20200518,21.83
53,000963.SZ,20200518,20.95
54,600705.SH,20200518,3.88
55,600867.SH,20200518,14.34
56,002938.SZ,20200518,41.0
57,002422.SZ,20200518,20.45
58,601577.SH,20200519,7.77
59,601601.SH,20200519,29.0
60,601607.SH,20200519,18.1
61,601628.SH,20200519,27.12
62,601881.SH,20200519,10.0
63,601577.SH,20200518,7.76
64,601601.SH,20200518,28.59
65,601607.SH,20200518,18.08
66,601628.SH,20200518,26.8
67,601881.SH,20200518,9.9
68,603259.SH,20200518,110.63
69,600705.SH,20200521,3.84
70,600036.SH,20200522,33.63
71,000413.SZ,20200522,2.68
72,002304.SZ,20200515,95.6
73,600999.SH,20200515,17.51
74,601162.SH,20200515,5.93
75,600016.SH,20200521,5.76
76,002773.SZ,20200521,35.22
77,000538.SZ,20200520,86.49
78,600436.SH,20200515,145.0
79,000776.SZ,20200515,13.62
80,601577.SH,20200515,7.72
81,601601.SH,20200515,28.68
82,601607.SH,20200515,17.95
83,601628.SH,20200515,26.88
84,601881.SH,20200515,9.96
85,002938.SZ,20200521,39.6
86,600036.SH,20200521,34.73
87,000725.SZ,20200521,3.87
88,600276.SH,20200521,99.74
89,300347.SZ,20200521,81.47
90,000627.SZ,20200521,5.35
91,601607.SH,20200525,17.64
92,601628.SH,20200525,25.32
93,601881.SH,20200525,9.53
94,002236.SZ,20200528,14.86
95,601688.SH,20200528,17.49
96,601998.SH,20200528,5.07
97,603156.SH,20200528,22.2
98,600887.SH,20200525,28.5
99,600919.SH,20200525,5.83
100,600926.SH,20200525,8.71
101,600958.SH,20200525,9.12
102,000725.SZ,20200525,3.71
103,600998.SH,20200525,17.43
104,601198.SH,20200525,10.25
105,002415.SZ,20200528,28.41
106,600703.SH,20200529,23.26
107,600705.SH,20200529,3.79
108,600085.SH,20200529,25.06
109,600887.SH,20200526,28.62
