,StockCode,SectorCode,SectorWeightRank,WeightInIndex,WeightInSectorPortofolio
0,601398.SH,银行,2.0,0.8439,0.055675408213755564
1,601628.SH,非银金融,1.0,0.3598,0.023635754498216484
2,601166.SH,银行,2.0,1.8291,0.12067293419099455
3,601318.SH,非银金融,1.0,6.1045,0.40101296090706645
4,601998.SH,银行,2.0,0.1206,0.007956457199406235
5,601328.SH,银行,2.0,1.0771,0.07106053109021936
6,002142.SZ,银行,2.0,0.5548,0.03660234207488042
7,601009.SH,银行,2.0,0.3494,0.02305129473857826
8,002304.SZ,食品饮料,3.0,0.4491,0.04270026146898027
9,601601.SH,非银金融,1.0,0.732,0.048086081969690005
10,002236.SZ,电子,5.0,0.2304,0.033155372638183356
11,002252.SZ,医药生物,4.0,0.1296,0.01571080481507074
12,002241.SZ,电子,5.0,0.3327,0.047876703458001754
13,601901.SH,非银金融,1.0,0.2218,0.014570345602291316
14,601878.SH,非银金融,1.0,0.0991,0.006510014649175245
15,002673.SZ,非银金融,1.0,0.1053,0.006917301135803768
16,601198.SH,非银金融,1.0,0.1119,0.0073508641699567105
17,601288.SH,银行,2.0,1.0032,0.0661850569025235
18,601838.SH,银行,2.0,0.1059,0.006986640277090549
19,601997.SH,银行,2.0,0.1539,0.010153389411182583
20,601229.SH,银行,2.0,0.4392,0.028975754576942105
21,601162.SH,非银金融,1.0,0.028,0.001839358326709454
22,601788.SH,非银金融,1.0,0.1653,0.010858783264466883
23,002294.SZ,医药生物,4.0,0.0593,0.007188663005661225
24,600999.SH,非银金融,1.0,0.3999,0.026269978387539663
25,300003.SZ,医药生物,4.0,0.3083,0.03737377410869065
26,300015.SZ,医药生物,4.0,0.4163,0.050466111454582935
27,601688.SH,非银金融,1.0,0.6061,0.03981553863637857
28,002411.SZ,医药生物,4.0,0.0358,0.0043398673794717004
29,002415.SZ,电子,5.0,0.907,0.1305204990574319
30,002422.SZ,医药生物,4.0,0.1272,0.015419863985162022
31,002456.SZ,电子,5.0,0.2185,0.03144292066598552
32,601377.SH,非银金融,1.0,0.2139,0.014051383788684008
33,601336.SH,非银金融,1.0,0.2838,0.018643210468576536
34,002475.SZ,电子,5.0,1.1491,0.165359542962398
35,601818.SH,银行,2.0,0.4495,0.029655286161966023
36,300122.SZ,医药生物,4.0,0.2876,0.03486440945072797
37,600998.SH,医药生物,4.0,0.0764,0.009261616418760835
38,600958.SH,非银金融,1.0,0.2547,0.016731591636174926
39,300136.SZ,电子,5.0,0.2422,0.034853434257673656
40,300142.SZ,医药生物,4.0,0.3767,0.045665587761089095
41,600926.SH,银行,2.0,0.1486,0.009803727527626588
42,600919.SH,银行,2.0,0.4222,0.02785419759195118
43,000166.SZ,非银金融,1.0,0.2981,0.019582597042574576
44,002736.SZ,非银金融,1.0,0.199,0.013072582393399333
45,601211.SH,非银金融,1.0,0.5775,0.037936765488382485
46,603156.SH,食品饮料,3.0,0.0848,0.008062752555265035
