time_str,Amount,Close,Count,High,Low,Open,Qty,Return
931,15748574.0,11.87,525.0,11.89,11.85,11.88,1326100.0,-0.0008417964
932,26250540.0,11.95,756.0,11.95,11.87,11.87,2205393.0,0.0067396164
933,19444028.0,12.07,759.0,12.12,11.92,11.93,1617667.0,0.011735082
934,19573332.0,12.09,639.0,12.1,12.06,12.08,1619906.0,0.0008277893
935,19664888.0,12.13,774.0,12.13,12.07,12.09,1626043.0,0.0033085346
936,19337370.0,12.12,665.0,12.15,12.09,12.13,1594520.0,-0.00082439184
937,10000383.0,12.12,522.0,12.14,12.11,12.13,824712.0,-0.00082439184
938,12872163.0,12.1,471.0,12.14,12.09,12.12,1062900.0,-0.001650095
939,18967966.0,12.11,490.0,12.12,12.06,12.09,1568958.0,0.0016542673
940,8022628.5,12.07,307.0,12.12,12.06,12.11,663592.0,-0.003303051
941,23784414.0,11.98,482.0,12.07,11.91,12.06,1981774.0,-0.0066335797
942,12630802.0,11.93,408.0,12.0,11.91,11.98,1056150.0,-0.004173577
943,10983413.0,11.94,351.0,11.98,11.9,11.93,919200.0,0.0008381605
944,14663069.0,11.94,338.0,11.97,11.91,11.94,1227918.0,0.0
945,8540691.0,11.92,303.0,11.96,11.9,11.94,715600.0,-0.0016750097
946,8490205.0,11.96,294.0,11.97,11.91,11.91,710492.0,0.0041981936
947,7093754.5,11.97,311.0,11.99,11.93,11.95,593000.0,0.0016736984
948,5264639.0,11.95,212.0,11.98,11.93,11.98,440400.0,-0.00250417
949,11353600.0,11.89,347.0,11.95,11.89,11.95,953036.0,-0.005020857
950,8068531.0,11.88,284.0,11.9,11.88,11.89,678546.0,-0.00084108114
951,8257829.5,11.95,360.0,11.96,11.89,11.89,692688.0,0.0050462484
952,5688168.0,11.96,231.0,11.96,11.93,11.96,475866.0,0.0
953,3071605.2,11.98,181.0,11.99,11.96,11.97,256470.0,0.0008354187
954,5254246.0,11.96,265.0,11.99,11.95,11.99,438630.0,-0.0025020838
955,5768271.0,11.98,233.0,11.99,11.95,11.96,481800.0,0.0016721487
956,1626732.0,11.97,97.0,11.98,11.96,11.97,135900.0,0.0
957,3422011.0,11.96,164.0,11.98,11.95,11.96,285900.0,0.0
958,3110419.5,11.98,185.0,11.98,11.95,11.96,259850.0,0.0016721487
959,5735710.0,11.99,331.0,12.0,11.98,11.99,478183.0,0.0
1000,4856606.5,12.0,268.0,12.01,11.98,12.0,404917.0,0.0
1001,7200098.0,11.96,295.0,12.01,11.95,12.0,601500.0,-0.0033333302
1002,5957713.5,11.91,210.0,11.96,11.91,11.95,498850.0,-0.0033472776
1003,3369119.0,11.91,201.0,11.93,11.9,11.91,282900.0,0.0
1004,7557024.5,11.88,260.0,11.91,11.87,11.91,635954.0,-0.0025188923
1005,5666962.5,11.88,224.0,11.9,11.86,11.88,477004.0,0.0
1006,2473516.8,11.89,180.0,11.91,11.88,11.89,207944.0,0.0
